Timestamp (s),filtered_x,filtered_y,filtered_z
0,-0.115005134852107,-0.247266585391618,-0.11111182828247
0.1,-0.108811815160078,-0.140161615194185,-0.153772368945612
0.2,-0.094357191771259,-0.128733669388959,-0.107045939298311
0.3,-0.061653547584228,-0.112224387373737,-0.0916001820100805
0.4,-0.0610013180040289,-0.0809369779425144,-0.0961444411378879
0.5,-0.0489676646934533,-0.0590904244056712,-0.0802044769732063
0.6,-0.043426650147162,-0.0475508919755409,-0.0796192443817491
0.7,-0.0420200494795105,-0.0452259488872371,-0.0811115186306614
0.8,-0.0392791516188361,-0.0391089524662143,-0.0771130820457107
0.9,-0.0425107018794248,-0.0370583594303475,-0.0743640313620345
1,-0.0371993959006344,-0.0357615805876427,-0.0795573809146725
1.1,-0.0258085298210854,-0.0292262022660662,-0.0743447792906302
1.2,-0.0251431154313872,-0.0248586515482693,-0.0743128665636185
1.3,-0.0255599268418938,-0.0189804213349127,-0.0682814721353628
1.4,-0.0260872020342032,-0.0165542708225873,-0.0651064935902527
1.5,-0.0247270428965769,-0.0190295515621447,-0.0682593922856204
1.6,-0.0264370751828973,-0.0228504438296383,-0.077727917651973
1.7,-0.0223316720255465,-0.0296392874021236,-0.0825287767112636
1.8,-0.0299711732775666,-0.0301376327782501,-0.086227884226945
1.9,-0.0324369176967173,-0.0326972150019921,-0.0824604913922467
2,-0.0295862355444421,-0.0311257750815418,-0.0825112248307729
2.1,-0.0257196527383371,-0.0285215789313252,-0.0773217066496867
2.2,-0.0299050167928142,-0.0284070707822604,-0.0769691495578843
2.3,-0.0289006036695017,-0.0237865430201032,-0.076960608399865
2.4,-0.0269946594524452,-0.0266715438020417,-0.0682399099406508
2.5,-0.0207175777886127,-0.0248908542901138,-0.0653359599363138
2.6,-0.0238128615861131,-0.0268731747404952,-0.060781081879392
2.7,-0.01740539194,-0.0220725064800564,-0.0547855432669015
2.8,-0.038228899432314,-0.013000427393663,-0.0418187751095255
2.9,-0.0311866771911872,-0.00644052099391583,-0.0495772250432289
3,-0.0172376174523353,0.0003854440516365,-0.0517724883212895
3.1,-0.0357834545387463,-0.00358993892188873,-0.0369059557500481
3.2,-0.0471653232099803,-0.00159059758937873,-0.0341008569294373
3.3,-0.0178585381350272,0.004590267775641,-0.0318247503462902
3.4,-0.0110681772110103,0.0036347504300218,-0.0344059258858185
3.5,-0.0172248380556577,-0.0111674731418419,-0.0332619596281088
3.6,-0.0417845169281622,-0.003032021358159,-0.0256956753951111
3.7,-0.0182172662928843,-0.00511283367436837,-0.0389428264812593
3.8,-0.0197593816438587,0.0183058864797498,-0.0248266799354181
3.9,-0.0244280644483664,0.0272171287034884,-0.0241683579794716
4,-0.0364301689581136,0.0213490787736664,-0.0116982179809012
4.1,-0.0131739377638291,0.018488378878544,-0.019585170551604
4.2,-0.0134982395219702,0.0224927650699868,-0.021470120450137
4.3,-0.0312834669963007,0.0151201520431177,-0.0202196157366152
4.4,-0.0231538376313085,0.0308156955274429,-0.0105819397094394
4.5,-0.0119545978724189,0.0410388610311717,-0.0049276813222886
4.6,-0.0115962924112419,0.0446502071782951,-0.008142471402524
4.7,-0.0197245428165557,0.0466892393016766,-0.0078512992140762
4.8,-0.0132907604450618,0.0481183452650088,-0.0059209606454369
4.9,-0.0094628705583774,0.0537781197904484,-0.00591722154374587
5,-0.0120489253423287,0.0547908714003023,-0.00571042221110384
5.1,-0.0133544063330181,0.0551219243616584,-0.0062221423423885
5.2,-0.0115229347190524,0.0551203158896701,-0.00417224780381053
5.3,-0.0113134555215968,0.0523064938029574,-0.0023532379208536
5.4,-0.012955737671654,0.0492871625875735,-0.00153758031992043
5.5,-0.0127175645831753,0.0471233164061313,0.000141188793165335
5.6,-0.0114990940435858,0.045272533675692,0.00174989885420387
5.7,-0.0122020201267448,0.0437874375961571,0.0057481929434874
5.8,-0.0111534416896033,0.0437855293018681,0.00953674706916347
5.9,-0.00911754291986997,0.0425917350018955,0.0112354316426008
6,-0.00844547775207411,0.0424233248689332,0.0140963682097544
6.1,-0.00708806881225507,0.0443262533319423,0.0203987513335015
6.2,-0.00805325942667557,0.0471729700019055,0.0265356561949125
6.3,-0.0102231467768622,0.0500477869879232,0.0313505893693595
6.4,-0.00930430717387687,0.0492440715178694,0.0314464900647084
6.5,-0.0115488206801258,0.046812462278394,0.0319004929262144
6.6,-0.010410623919899,0.0460578807284012,0.0332726332783442
6.7,-0.0135372378010347,0.0451390290905796,0.0380442154274649
6.8,-0.0157735290904108,0.0414776783407925,0.0408691541984784
6.9,-0.0124254356421474,0.0412975684109574,0.0373331426305925
7,-0.00982112544165777,0.0406184164676151,0.0335670227711057
