Timestamp (s),filtered_x,filtered_y,filtered_z
0,-0.0215703970334982,-0.0337127079203371,-0.141291890567101
0.1,-0.0357863286768474,-0.0458037285650136,-0.133475262905267
0.2,-0.029260159037012,-0.090763990711767,-0.117069406941574
0.3,-0.00911010216113846,-0.0803519833360447,-0.101388237078684
0.4,-0.0220801193888778,-0.08725983256228,-0.091018975613173
0.5,-0.0865609126377643,-0.125522405484244,-0.0977984389346169
0.6,-0.07639728980377,-0.106739173038533,-0.0872457415192928
0.7,-0.0765581294603272,-0.123244656034503,-0.0851816549104878
0.8,-0.0547821423482876,-0.107105142958109,-0.0775080056459412
0.9,-0.0408741183118587,-0.0968733581080783,-0.0827758904316446
1,-0.0551189818250054,-0.0915316404960248,-0.0796164978187018
1.1,-0.0504799971215648,-0.0772274215978963,-0.0605029316840312
1.2,-0.0488910495665838,-0.0637676212278764,-0.0611646293785893
1.3,-0.0415733400092141,-0.0533271321839088,-0.0536266292547078
1.4,-0.0346776004652457,-0.044501688714856,-0.0501142881641686
1.5,-0.0382821595928554,-0.0370575408243572,-0.0464591798526113
1.6,-0.0384710403925525,-0.0285741538525831,-0.0332366960324427
1.7,0.0143843712882361,-0.0386787905746225,-0.0331987774564922
1.8,0.0640452272557162,-0.0591418104353379,-0.0141963965800151
1.9,0.0226718520316207,-0.0668485200941442,0.00398077565605684
2,0.108354531609056,-0.0782819457879058,0.0174941219882574
2.1,0.0883581228012735,-0.0583828471857359,0.0098776080607599
2.2,-0.0418072525150093,-0.0518511788995588,0.0272777576744035
2.3,0.0611705999641153,-0.0628226770423294,0.0023539568711432
2.4,0.0903515456685327,-0.0479144629323452,0.00980723178542996
2.5,-0.00583286476124607,-0.0280517902848069,0.0444845952096727
2.6,0.0469355488922941,-0.06336512421992,0.0165500098573748
2.7,0.137947532939542,-0.0855998763118319,-0.0107134692589801
2.8,0.12347466584765,-0.0852913069782615,-0.0136512032122536
2.9,0.034043927275683,-0.0725296999577621,0.024881992509483
3,0.0814874185843284,-0.100593315209564,-0.0131424140375053
3.1,0.0515589609036373,-0.0907836967153555,-0.00962084914227013
3.2,-0.0153911927350334,-0.0681388116486717,-0.000348710834839733
3.3,0.0171214794538906,-0.0664820277710328,-0.00264522083492453
3.4,0.0112243693408543,-0.0610815081641333,0.00768461124460447
3.5,0.0379010710500709,-0.0482523118823089,0.0162438254893514
3.6,0.0322119459332659,-0.0434831529503258,0.0227720520099958
3.7,0.0238031509615098,-0.0465636712679109,0.0190886500874071
3.8,0.0204527872055555,-0.0493184466665034,0.015465895263495
3.9,0.0373132742894512,-0.0371872024124306,0.0147469695483132
4,0.021772869613218,-0.0513626116420577,0.00843881144659803
4.1,0.0217514657365014,-0.0554724590901464,-0.000935395419841233
4.2,0.0262244461288096,-0.0485685746795192,-0.00178862375716507
4.3,0.017162481071931,-0.0457913383971966,0.00680892361506783
4.4,0.016320758316394,-0.0464786244390325,0.0122944655518224
4.5,0.0205388180425229,-0.0401226466874778,0.0145883259210743
4.6,0.0199018183140594,-0.0376686296616676,0.0145115425872116
4.7,0.0212164301537398,-0.0317552254844704,0.0142634852867368
4.8,0.0212177328578598,-0.0283722276747989,0.0162677752300998
4.9,0.0232854146437789,-0.0301021955811362,0.0139010421317437
5,0.0262531197084412,-0.0288467287190645,0.0136409162889491
5.1,0.0267639004086714,-0.027378629695412,0.014848937821391
5.2,0.0281596638733804,-0.0259566840750248,0.0168072208218723
5.3,0.0278556530465172,-0.0284091573303797,0.0202668437677738
5.4,0.0251173179566191,-0.029313263356078,0.02373987128638
5.5,0.0233015246525039,-0.0303673772355413,0.0247335268149956
5.6,0.0243673699499694,-0.029883004934171,0.0246026094016574
5.7,0.0253506057383976,-0.0286432971588864,0.0216813470102
5.8,0.0246265893311702,-0.0303871491138402,0.0187080148683616
5.9,0.0207778739790178,-0.0444561641329408,0.0167448167702759
6,-0.0045879874135621,-0.0447470674296059,0.017306579493789
6.1,0.0191865865869563,-0.0633755874627377,0.0179536329304654
6.2,0.011840719169303,-0.0550827317202034,0.0190247381742916
6.3,-0.0184259381448736,-0.0197777700106444,0.0142666119567266
6.4,-0.008918515209905,-0.011891569133003,0.00252714530030543
6.5,0.00506019188951914,-0.0165843814621203,0.00289686838846603
6.6,0.0211999963311041,-0.0345050770130247,0.00499732014443217
6.7,-0.000549344286056367,-0.0236403042431166,0.0123720871461085
6.8,-0.0212813041150449,-0.0259607710820725,0.0157947893741371
6.9,-0.0247228305090663,-0.0299212913479994,0.0174630541571315
