Timestamp (s),filtered_x,filtered_y,filtered_z
0,0.00147501764394207,-0.0052203603214922,-0.00273271284789593
0.1,-0.000482096984040666,-0.00648385038840817,-0.0021846405596602
0.2,-0.0014063499598334,-0.00120502963553973,-0.000729839995099533
0.3,-0.00161918411308017,-0.000666531194666366,-0.0009389601339305
0.4,0.00124722351954613,0.00196007394224567,-0.000646957872328767
0.5,0.000318961875344967,0.00448278521479133,-0.000975628524867933
0.6,0.0004533113824549,0.00559440379974167,-0.00116155027891947
0.7,-0.000807408177189,0.0051144891767266,-0.00121415872916753
0.8,-0.000969457814980867,0.00442678288112603,-0.0010591364762689
0.9,-0.00173431249097667,0.00359276383253993,-0.000935279301143267
1,-0.000691829270979124,0.00316584949196563,-0.000640565511415933
1.1,-0.0011481701161551,0.0027506895869853,-0.000836892532175733
1.2,-0.00148035840360397,0.0024530153949476,-0.0008667299991873
1.3,-0.00290531865037163,0.0022482559397728,-0.000917746905021567
1.4,-0.00255592733381747,0.0013362835396663,-0.0006540802573881
1.5,-0.00291650220971127,0.00133732658598703,-0.000512523635788767
1.6,-0.00294188722190553,0.000311652317969833,-0.0004078636019339
1.7,-0.0022512365937958,-0.000699964787554467,-0.000354451454647833
1.8,-0.00206446304457447,-0.00123027394031353,-0.000381998006008067
1.9,-0.000644394128719567,-0.00183313456070737,-0.000120650979026367
2,-0.000279377956478767,-0.00144081819553077,-0.000122674146094933
2.1,-9.38910363034667E-05,-0.0019484357850928,-0.000173344538231133
2.2,-0.000205706393279631,-0.00128742916995137,-0.000250997683066633
2.3,-0.0000983921065027001,-0.00123583538616063,-0.000352337471605733
2.4,8.70233333976333E-05,-0.00110153311820023,-0.000330375897759633
2.5,-0.000228062984048867,-0.000352270653521033,-0.000434875706284367
2.6,0.000110028809279133,-0.000194005212530433,-0.000344344837767867
2.7,0.0005278289556041,-0.000201954924745833,-0.000337722532581833
2.8,0.00111768968135973,-0.000598032552774767,-0.0003191661082878
2.9,0.0010986184997389,-0.0001429236149602,-0.000398809866692667
3,0.000516169063601967,0.000483361688153767,-0.0003675623099011
3.1,0.0001520706905119,0.000888276744000833,-0.0004295248369535
3.2,0.000342548613312367,0.0004811778848413,-0.000454413959991033
3.3,0.000597500390030633,-0.0000211944281623999,-0.0004455443978113
3.4,0.000543830282993833,0.000114182831609433,-0.000374089675817567
3.5,0.000636418028771233,6.72538761006654E-06,-0.000378263707572733
3.6,0.0002447981423913,-1.52115187941667E-05,-0.0003521707880348
3.7,1.95372573753666E-05,0.000275944039044733,-0.000356605924607233
3.8,-0.000137430404633633,0.0008761789352355,-0.000380048564450467
3.9,-0.0000353090842919001,0.00100039260587416,-0.0002811666874857
4,-0.0009303280828454,0.000308573125367234,-0.000159735168051233
4.1,-0.00116017668361277,0.000878295055483672,-0.000159811068491426
4.2,-0.0011702873057929,0.00145710260252473,-0.00015113516180199
4.3,-0.00166735816867777,0.00256620104133227,-0.000142842581213869
4.4,-0.000952485190971167,0.00198451904564767,-0.0000761938048233
4.5,-0.000843383971561767,0.00204398067306377,-0.0000946869012691
4.6,-0.0006339273030621,0.0014068922634889,-0.000193111910492633
4.7,-0.0004645925100274,0.00138207543309563,-0.0001528149768608
4.8,-0.0018047117923252,0.00357726065679657,-0.000145225880646467
