Axis,Mean,Variance,Skewness,Kurtosis,Zero_Crossing_Rate,Energy
X,-0.000568076353438638,1.2218394732777479e-06,-0.4111054804451872,-0.4654075150866679,[0.00341797],0.0012427993468834334
Y,0.0006658514760924345,5.08976517659999e-06,-0.4264916359744578,1.4365103041960463,[0.00341797],0.002352259204427621
Z,-0.0005394278509494449,2.4757505045051024e-07,-2.5051174575162696,7.443941894495053,[0.],0.0007338647401466069
