Axis,Mean,Variance,Skewness,Kurtosis,Zero_Crossing_Rate,Energy
X,-0.026391618321031245,0.00044200668341306046,-2.4186282594782926,6.69776216575692,[0.],0.03374202425783095
Y,-0.0010267161611505564,0.0028380554731421456,-1.8049261329370452,5.200942593679606,[0.00244141],0.053283295874201636
Z,-0.03479134623302212,0.001936252465196695,-0.10943611536838634,-0.7575843614037541,[0.00048828],0.05609536734796126
