Axis,Mean,Variance,Skewness,Kurtosis,Zero_Crossing_Rate,Energy
X,0.013658847372895206,0.0005641431753574918,-0.6258596128157151,0.630221441604665,[0.00341797],0.02739903806547847
Y,-0.0006077979620366558,0.0011820102450180105,-1.8338297372972499,2.3808660756735893,[0.00146484],0.03438574796889935
Z,-0.0316517410291159,0.004993342513199737,-0.8899329275592182,0.18645075412224044,[0.00244141],0.07742851686151526
