Axis,Mean,Variance,Skewness,Kurtosis,Zero_Crossing_Rate,Energy
X,-0.002688157631183854,3.773647657047854e-05,0.3534737157632639,-0.7742332866028141,[0.00634766],0.00670542079369897
Y,-0.007106194804373382,5.303722340612215e-05,-0.06999264528332691,0.15413872297902342,[0.00292969],0.010175226189320088
Z,0.0008429137687188599,4.352380034475228e-05,0.30246518260975563,-0.03311082892535966,[0.00195312],0.006650887457042716
