Axis,Mean,Variance,Skewness,Kurtosis,Zero_Crossing_Rate,Energy
X,0.024248471768789998,0.0007315675095572723,0.15690640731147823,-0.9647605059215203,[0.00195312],0.036325691909158145
Y,0.01079450311202397,9.819343476366578e-05,0.3625515791987906,-0.1873759901944827,[0.00244141],0.01465314751850813
Z,0.0027443883074163415,7.00227245926197e-05,-0.9401287817860223,0.7644876403989063,[0.00195312],0.008806497134190372
