Timestamp (s),X,Y,Z
0,-0.0046844482,-0.0056915283,0.0028381348
0.1,0.01449585,-0.011016846,0.0007019043
0.2,-0.007873535,-0.0024871826,0.0028381348
0.3,-0.0046844482,-0.026992798,0.0049591064
0.4,-0.016403198,0.0028381348,0.008163452
0.5,0.01449585,-0.013153076,0.007095337
0.6,0.025146484,-0.0056915283,0.0017700195
0.7,-0.0046844482,-0.015274048,0.0060272217
0.8,0.0070343018,0.0007019043,0.0007019043
0.9,0.0059661865,-0.020599365,0.0007019043
1,0.0038452148,0.008163452,0.0007019043
1.1,-0.0068206787,-0.004623413,-0.0056915283
1.2,-0.0057525635,0.0017700195,-0.0035552979
1.3,0.00064086914,-0.012084961,-0.0014190674
1.4,-0.0068206787,0.010284424,-0.0014190674
1.5,0.0048980713,0.015609741,-0.004623413
1.6,-0.0004272461,-0.012084961,-0.0024871826
1.7,-0.003616333,-0.0056915283,-0.0014190674
1.8,-0.0025482178,-0.008880615,-0.0024871826
1.9,0.043258667,-0.044036865,0.0060272217
2,-0.013198853,0.018814087,0.0028381348
2.1,0.0048980713,-0.017410278,0.0028381348
2.2,-0.047286987,0.037979126,0.0007019043
2.3,0.028335571,-0.022735596,-0.0014190674
2.4,0.010223389,-0.0024871826,0.0049591064
2.5,-0.0068206787,-0.013153076,0.0017700195
2.6,0.016616821,-0.004623413,0.0049591064
2.7,0.012359619,-0.008880615,-0.004623413
2.8,0.016616821,-0.018478394,0.0049591064
2.9,0.010223389,0.015609741,-0.004623413
3,0.008102417,0.019882202,-0.0035552979
3.1,-0.0004272461,0.0038909912,-0.0035552979
3.2,0.01449585,-0.049362183,0.00390625
3.3,0.008102417,-0.022735596,0.0028381348
3.4,-0.011077881,-0.030197144,0.0028381348
3.5,0.0017089844,0.0017700195,0.0060272217
3.6,0.008102417,-0.0099487305,0.0017700195
3.7,-0.014266968,0.045440674,-0.0035552979
3.8,-0.018539429,0.035858154,-0.0024871826
3.9,0.008102417,0.03265381,-0.0024871826
4,0.0059661865,-0.08665466,0.0017700195
4.1,0.010223389,-0.00036621094,-0.00036621094
4.2,0.012359619,0.023071289,-0.00036621094
4.3,-0.011077881,0.071014404,-0.004623413
4.4,-0.00894165,0.019882202,-0.0014190674
4.5,0.011291504,0.023071289,-0.0056915283
4.6,0.008102417,-0.034454346,-0.004623413
4.7,0.0048980713,0.019882202,-0.0056915283
4.8,-0.15701294,0.23931885,-0.0024871826
