Timestamp (s),X,Y,Z
0,-0.29588318,-0.19776917,-0.038772583
0.1,-0.16059875,-0.028396606,0.06135559
0.2,-0.099868774,-0.17327881,-0.08351135
0.3,-0.14994812,-0.07206726,-0.19856262
0.4,0.036483765,0.100494385,0.012359619
0.5,0.10040283,0.10688782,0.036865234
0.6,-0.07217407,-0.003890991,0.07307434
0.7,-0.080703735,0.024871826,-0.07286072
0.8,0.059921265,-0.024139404,-0.07925415
0.9,0.038604736,-0.015609741,0.07307434
1,0.007720947,-0.08911133,-0.061141968
1.1,-0.060455322,-0.042251587,-0.09629822
1.2,-0.17018127,0.005691528,-0.1655426
1.3,0.031158447,0.11647034,-0.059020996
1.4,0.043930054,0.005691528,-0.17193604
1.5,-0.029571533,0.10902405,-0.24650574
1.6,0.081222534,0.004623413,-0.16233826
1.7,0.010910034,-0.13598633,-0.174057
1.8,0.06417847,-0.031600952,-0.103759766
1.9,0.054595947,0.030197144,-0.19216919
2,-0.12651062,-0.04864502,0.1359253
2.1,-0.38856506,-0.19139099,0.13806152
2.2,0.1259613,0.16122437,-0.019592285
2.3,0.18667603,-0.009231567,0.19026184
2.4,-0.038085938,-0.055023193,-0.11227417
2.5,0.2655182,0.18571472,0.34684753
2.6,-0.045547485,0.19317627,0.17001343
2.7,-0.4258423,0.07279968,0.17747498
2.8,0.31344604,0.16654968,-0.58631897
2.9,1.1848297,0.14523315,-0.53518677
3,-1.8256073,-0.4779358,1.3940125
3.1,-1.0799103,0.36361694,0.69732666
3.2,1.8378448,0.5713501,-0.15596008
3.3,0.6916199,0.6352539,-0.17726135
3.4,-0.6964264,-1.6816864,-0.19963074
3.5,-0.23942566,0.40090942,0.007034302
3.6,0.6330261,-0.30963135,-1.2808685
3.7,-0.24261475,1.9071808,1.2011871
3.8,0.67137146,0.7843933,0.38520813
3.9,-2.0439758,-0.15196228,1.354599
4,1.2029419,-0.29258728,-0.87394714
4.1,1.3201294,0.19850159,-0.70562744
4.2,-1.4474335,-0.6174927,0.24990845
4.3,-0.13716125,1.4618988,0.8336792
4.4,0.9760437,1.1891937,0.60357666
4.5,0.19946289,0.55430603,0.004898071
4.6,-0.97125244,0.10902405,-0.24330139
4.7,0.43595886,0.2783966,0.29252625
4.8,0.503067,0.8504486,0.11036682
4.9,-0.38323975,0.29437256,0.26376343
5,-0.24794006,0.2965088,-0.12612915
5.1,0.13981628,0.347641,0.20942688
5.2,0.020507812,-0.06568909,0.07839966
5.3,-0.13183594,-0.30430603,-0.1144104
5.4,0.006652832,-0.08592224,-0.024932861
5.5,0.06524658,0.005691528,0.12315369
5.6,-0.078567505,-0.18286133,0.13699341
5.7,0.018371582,-0.045440674,0.24139404
5.8,0.18455505,-0.012420654,0.07307434
5.9,0.2037201,0.1441803,0.10183716
6,0.09933472,0.07066345,0.29891968
6.1,0.01411438,0.22512817,0.3404541
6.2,-0.04447937,0.093048096,0.35005188
6.3,0.038604736,0.016342163,0.15829468
6.4,-0.012527466,0.102630615,0.16043091
6.5,0.23143005,0.009948731,0.027267456
6.6,-0.6687317,-0.120010376,0.9071808
6.7,-0.3800354,-0.6281433,0.5769501
6.8,0.39015198,-0.10189819,-0.35409546
6.9,0.32409668,0.100494385,-0.5149536
7,0.16004944,0.055755615,-0.3327942
7.1,0.000259399,0.03552246,-0.25395203
7.2,0.1302185,0.2965088,-0.2475586
7.3,0.07269287,0.2698822,-0.02279663
7.4,-0.006134033,0.003555298,-0.12931824
7.5,-0.13928223,-0.028396606,-0.08457947
