X,Y,Z
0.0014343262,0.0039520264,0.0058898926
-7.019043E-4,-0.001373291,0.0027008057
-0.0049591064,0.0050201416,0.0058898926
-0.0049591064,-3.0517578E-4,0.0016326904
0.0056915283,-0.005630493,0.0058898926
0.0025024414,-0.00881958,0.0016326904
-0.002822876,-0.012023926,0.009094238
0.0014343262,-0.02053833,0.0048217773
-0.002822876,-0.012023926,0.008026123
-7.019043E-4,-0.0077667236,0.0101623535
0.0035705566,-3.0517578E-4,-0.0058288574
0.004623413,0.008224487,0.0027008057
0.0056915283,-0.001373291,-0.0026245117
3.6621094E-4,-0.004562378,0.0016326904
-0.0017700195,-3.0517578E-4,-5.0354004E-4
-0.0038909912,0.01461792,-0.009017944
0.0025024414,0.018875122,-0.0015563965
-0.0017700195,0.0039520264,-0.0015563965
0.008895874,7.6293945E-4,0.0027008057
-0.0060272217,-0.013092041,0.0058898926
-0.0038909912,0.00289917,0.0058898926
0.0014343262,-0.009887695,-0.003692627
0.011016846,-0.039718628,-0.01222229
0.008895874,-0.0066986084,0.01335144
-0.033721924,0.023132324,0.01121521
0.116485596,-0.059951782,0.028259277
-0.06674194,-0.02053833,0.02293396
-0.009216309,-0.0034942627,0.020812988
-0.10296631,-0.009887695,0.02720642
-0.06994629,-0.013092041,0.028259277
-0.011352539,-0.07594299,0.052764893
-0.0038909912,-0.010955811,0.052764893
0.016342163,0.056152344,0.070877075
0.06428528,-0.018417358,0.07299805
-0.03265381,0.008224487,0.08898926
0.13459778,0.079589844,0.101760864
-0.18605042,0.015670776,0.07513428
0.19210815,0.1701355,0.11029053
0.17080688,-0.051437378,0.07194519
-0.04862976,0.25216675,0.01121521
-0.16474915,0.34484863,-0.042037964
-0.018814087,-0.20909119,-0.07400513
0.24751282,-0.460495,-0.042037964
-0.28405762,0.26707458,5.645752E-4
-0.045440674,-0.31881714,0.037857056
0.18040466,-0.31988525,0.039978027
0.061080933,0.33952332,0.080459595
-0.022003174,0.37998962,0.037857056
-0.051834106,-0.14091492,-0.011154175
-0.06781006,0.010345459,-0.05908203
0.07279968,-0.015213013,-0.079330444
-0.1104126,-0.06741333,-0.07080078
-0.47154236,0.1701355,0.07194519
0.7982483,-0.2421112,0.037857056
-0.5865936,-0.3774109,0.029327393
0.02166748,-0.1270752,0.016540527
-0.06781006,-0.06422424,-0.029266357
-0.11894226,0.105163574,0.006958008
-0.061416626,0.05722046,-0.014343262
0.017410278,-0.00881958,-0.058029175
0.26029968,-0.11428833,-0.060150146
-0.09870911,0.11155701,0.039978027
-0.08378601,0.00289917,0.054901123
-0.020935059,0.010345459,0.0058898926
-0.07420349,0.048706055,0.008026123

