X,Y,Z
-0.02230835,0.032836914,-7.6293945E-4
0.1342926,-0.084350586,0.012008667
-0.05319214,0.023239136,-0.008224487
0.0554657,0.021118164,-0.013549805
0.006454468,0.03388977,-0.031661987
-0.008453369,0.024307251,-0.02420044
0.029891968,-0.05026245,-0.012481689
-0.012710571,-0.09500122,-0.031661987
-0.052139282,0.17237854,-0.0018310547
0.17477417,0.012588501,0.024795532
-0.089416504,-0.17382812,0.031188965
0.08955383,-0.13015747,0.047164917
0.23123169,-0.35386658,-0.032730103
0.04374695,0.36306763,-0.06575012
0.019241333,-0.21963501,-0.116882324
0.02243042,0.0040740967,0.10362244
-1.0673218,0.07650757,0.099365234
0.3153839,0.20007324,0.0652771
0.30473328,0.09887695,0.08232117
-0.2801056,-0.10458374,-0.04763794
0.10446167,-0.08753967,-0.02633667
0.0096588135,-0.13015747,0.0184021
-0.032958984,-0.014038086,0.113220215
0.056518555,0.15000916,0.11959839
0.10446167,-0.018295288,0.075927734
0.056518555,0.1063385,0.064208984
0.016052246,0.011520386,-0.08279419
-0.025497437,-0.05558777,-0.14883423
0.025634766,-0.08647156,-0.20210266
-0.07876587,-0.006576538,-0.048706055
0.023498535,-0.052383423,-0.012481689
0.0128479,-0.13227844,0.0034942627
-0.005264282,-0.023620605,-0.019943237
0.0021972656,-0.010848999,0.0184021
-0.007385254,-0.017242432,0.016281128

