X,Y,Z
0.025634766,-0.008712769,-0.007156372
-0.030822754,0.016845703,0.0034942627
0.020309448,0.008331299,0.0013580322
-0.0010070801,-0.026824951,0.010955811
0.02456665,-0.080093384,0.017333984
0.018173218,-0.0342865,0.0056152344
0.04586792,-0.10671997,0.004562378
0.0320282,0.024307251,-0.00289917
-0.0340271,0.0019378662,-0.0018310547
-0.03189087,0.20646667,-0.01675415
-0.0617218,-0.06304932,-0.027404785
-0.027633667,-0.15359497,-0.12113953
0.06504822,-0.115234375,-0.003967285
-0.060653687,-0.23135376,0.050369263
0.19714355,0.1020813,0.048233032
-0.030822754,-0.008712769,0.08125305
-0.17570496,0.34814453,0.07913208
0.15559387,-0.13441467,0.014144897
-0.06704712,0.34709167,-0.06149292
-0.08834839,-0.30378723,-0.034851074
6.1035156E-5,-0.45292664,0.024795532
0.17263794,0.008331299,0.036514282
-0.08302307,-0.35491943,-0.14350891
0.082092285,-0.22070312,-0.06149292
0.23867798,-0.42097473,-0.023147583
-0.028701782,0.12657166,0.047164917
0.14173889,0.010467529,0.010955811
0.16091919,-0.08114624,-0.015686035
0.02670288,-0.010848999,-0.02633667
-0.029754639,0.034957886,-0.01675415
0.03842163,0.015792847,-0.04019165
-0.07876587,0.08609009,-0.08918762
0.093811035,-0.12376404,-0.12220764
-0.044677734,0.0019378662,-0.05935669
0.004333496,-0.18980408,-0.08811951
0.115112305,-0.060913086,-0.12327576
-0.0851593,-0.07688904,-0.06575012
-0.032958984,-0.12269592,-0.02633667
-0.08088684,-0.05984497,0.016281128
0.044799805,-0.04600525,-0.01461792
-0.014846802,-0.019363403,0.0066833496

