X,Y,Z
-0.0046844482,-0.0056915283,0.0028381348
0.01449585,-0.011016846,7.019043E-4
-0.007873535,-0.0024871826,0.0028381348
-0.0046844482,-0.026992798,0.0049591064
-0.016403198,0.0028381348,0.008163452
0.01449585,-0.013153076,0.007095337
0.025146484,-0.0056915283,0.0017700195
-0.0046844482,-0.015274048,0.0060272217
0.0070343018,7.019043E-4,7.019043E-4
0.0059661865,-0.020599365,7.019043E-4
0.0038452148,0.008163452,7.019043E-4
-0.0068206787,-0.004623413,-0.0056915283
-0.0057525635,0.0017700195,-0.0035552979
6.4086914E-4,-0.012084961,-0.0014190674
-0.0068206787,0.010284424,-0.0014190674
0.0048980713,0.015609741,-0.004623413
-4.272461E-4,-0.012084961,-0.0024871826
-0.003616333,-0.0056915283,-0.0014190674
-0.0025482178,-0.008880615,-0.0024871826
0.043258667,-0.044036865,0.0060272217
-0.013198853,0.018814087,0.0028381348
0.0048980713,-0.017410278,0.0028381348
-0.047286987,0.037979126,7.019043E-4
0.028335571,-0.022735596,-0.0014190674
0.010223389,-0.0024871826,0.0049591064
-0.0068206787,-0.013153076,0.0017700195
0.016616821,-0.004623413,0.0049591064
0.012359619,-0.008880615,-0.004623413
0.016616821,-0.018478394,0.0049591064
0.010223389,0.015609741,-0.004623413
0.008102417,0.019882202,-0.0035552979
-4.272461E-4,0.0038909912,-0.0035552979
0.01449585,-0.049362183,0.00390625
0.008102417,-0.022735596,0.0028381348
-0.011077881,-0.030197144,0.0028381348
0.0017089844,0.0017700195,0.0060272217
0.008102417,-0.0099487305,0.0017700195
-0.014266968,0.045440674,-0.0035552979
-0.018539429,0.035858154,-0.0024871826
0.008102417,0.03265381,-0.0024871826
0.0059661865,-0.08665466,0.0017700195
0.010223389,-3.6621094E-4,-3.6621094E-4
0.012359619,0.023071289,-3.6621094E-4
-0.011077881,0.071014404,-0.004623413
-0.00894165,0.019882202,-0.0014190674
0.011291504,0.023071289,-0.0056915283
0.008102417,-0.034454346,-0.004623413
0.0048980713,0.019882202,-0.0056915283
-0.15701294,0.23931885,-0.0024871826

