Timestamp (s),filtered_x,filtered_y,filtered_z
0,-0.114038740034182,0.0264809586188126,-0.0933561303229061
0.1,-0.108816712867135,-0.0300921527014154,-0.120625985670646
0.2,-0.0358151963398893,-0.0302343347416417,-0.113121508409179
0.3,0.0187317358582898,0.00400435964526189,-0.0910828626560734
0.4,0.0364262783390207,-0.00214319657301698,-0.0705777137430991
0.5,0.0325898423443887,-0.0155399993717369,-0.0566179577154613
0.6,0.0460596719615198,-0.0188553191517882,-0.0219501562776766
0.7,0.0259034413127811,-0.032156778160852,-0.0121735337537718
0.8,0.0399747590855993,-0.0311560560898612,-0.0257806535644868
0.9,0.0245006837584455,-0.0390275861021353,-0.0213585465526922
1,0.00612944013351107,-0.0475054206682662,-0.0199475896724657
1.1,0.000160979641602369,-0.0453887612039483,-0.0104576186142525
1.2,-0.00914910916083801,-0.0393448827621343,-0.0077259538442331
1.3,-0.0090853214953989,-0.0314966084412003,-0.00545695247084551
1.4,-0.0305528473958309,-0.023689639466599,0.000419391690862509
1.5,-0.0213551362259892,-0.011047351528147,0.00183354754432433
1.6,-0.0227824702745197,-0.00949440476376099,0.00465391309010978
1.7,-0.0256578035930659,-0.0112031016330879,0.00674851601338809
1.8,-0.0199993427073922,-0.00641734339588333,0.0107115166961043
1.9,-0.0193009432034856,-0.00897323609997546,0.00650195990432185
2,-0.0127821547249853,-0.00698937609848427,-0.00048470694344823
2.1,-0.00670280115942874,-0.00596673007362813,0.00113279633715461
2.2,-0.0168974730167321,-0.0103295031235803,0.00654903101973575
2.3,-0.0170274296632747,-0.00380228098298746,0.0143995255003989
2.4,-0.0184457719764408,0.00203586797120861,0.0192502832018441
2.5,-0.0207565928898131,0.00213712092347376,0.014978947713123
2.6,-0.022496568838465,0.00126614771866199,0.0193839548065765
2.7,-0.022637728619443,-0.000825653574910071,0.0169135411170408
2.8,-0.0215290100043321,-0.000971479330967759,0.0129948620955206
2.9,-0.0251887562614905,0.000784943924250832,0.0139924926804972
3,-0.0214155881068498,0.00197085533530961,0.0130910038445869
3.1,-0.0144134138642392,-0.00277538202887148,-0.00197494715640431
3.2,-0.00656254334981525,-0.00181152117127741,-0.00642181723745806
3.3,-0.00195013633359861,-0.00087080588867554,-0.00989948361192476
3.4,0.000984763526783266,-0.00597425760461298,-0.016272277782487
3.5,0.00077942676268501,-0.00514614172649703,-0.0199938256386223
3.6,-0.0147274475814418,-0.00939627944759436,-0.0150081688011146
3.7,-0.0147839286576886,-0.0126673765859422,-0.0163627496179261
3.8,-0.0218075797642289,-0.0219733239367188,-0.0145928964313756
3.9,0.0183911181690862,0.00318267999317027,-0.00224332580327573
4,-0.0184495889584683,-0.0334019237560131,-0.0118369181115847
4.1,-0.0191562855134275,-0.0448762851179558,-0.0294584141866579
4.2,-0.00873268621785116,-0.0297872068701078,-0.031388710879784
4.3,-0.0370375692075875,-0.027137525128567,-0.00840572516366366
4.4,-0.0456626712388038,-0.049146128390551,-0.000346090250627555
4.5,-0.0347808158915265,-0.0416843221175769,0.000515637478086297
4.6,-0.0357760457160376,-0.0378471914306319,-0.00117641450877425
4.7,-0.0354710258529357,-0.0284586112424158,0.00088508150130089
4.8,-0.0328887592256033,-0.024883461100908,0.00162720775734667
4.9,-0.0240234817420814,-0.0281736017693056,-0.00613148616066798
5,-0.0159002403013258,-0.0290589409702885,-0.00657491881051624
5.1,-0.0143861563356227,-0.0259355413069532,-0.00440326647316177
5.2,-0.00796484919019494,-0.0243030489604613,-0.00281340138920787
5.3,-0.00489311058918003,-0.0279156075947595,0.00117344614330472
5.4,-0.00457863317372157,-0.0329492881272485,0.00268927100414016
5.5,-0.00444188510499603,-0.034343092003523,0.0035263236601628
5.6,-0.00369221562897694,-0.0342281663575794,0.00569411298784339
5.7,-0.00132296191524327,-0.0321478870516243,-0.000370408288766441
5.8,0.00146990732733983,-0.0289938833529878,-0.00565738325495843
5.9,0.00464805531680174,-0.0294372855327328,-0.0095708960990477
6,-9.25028378921892E-05,-0.0312317719597594,-0.0103003775840899
6.1,-0.00224228693178866,-0.0312960770100582,-0.0108149275226222
6.2,-0.00130410982125109,-0.0310351756747689,-0.0102493532643333
6.3,-0.00330503980831301,-0.0299555739236934,-0.0087237565284677
6.4,-0.00587824590039512,-0.028332288637468,-0.00689030817681023
6.5,-0.00628625796595414,-0.0239123726381287,-0.00705412562475986
6.6,-0.00503225165509029,-0.0215765576497439,-0.00532695539103877
6.7,-0.00671870970071413,-0.0215657565245151,-0.00284099608613932
6.8,-0.00777355891493753,-0.0268779337626047,-0.00324426659797361
6.9,-0.00827308037874398,-0.0216365603441084,0.000471084089673898
7,-0.00485032929024545,-0.0061458024290319,0.0141116685787483
7.1,-0.00389063813814325,-0.00764012962374887,0.0185031341052886
7.2,-0.00891546038153225,-0.00621802418092325,0.0206695415122716
7.3,-0.0105914404048462,-0.00899730716834976,0.0196778736311635
7.4,-0.0093855662939975,-0.00776474973093554,0.0193793789603547
7.5,-0.0095998289098721,-0.00785367056174963,0.0191048750056466
7.6,-0.00982529540783525,-0.00712040297579889,0.0181154888432543
7.7,-0.0090211818720934,-0.00604722059151517,0.0177350227746455
