time,filtered_x,filtered_y,filtered_z
0.0,0.00338467989513277,0.0218339598488559,0.00231656374230962
0.1,0.00252855121358933,0.000550996952574993,0.000900914045925422
0.2,0.00188012625397169,-0.00184708714310002,0.00349517085639755
0.3,0.000509243893827219,-0.000733709695477964,0.0035247335816242
0.4,9.1986705697233E-05,-0.0013112602780548,0.000614769848383951
0.5,0.00208495701265344,-0.000477651244912929,0.000581495176705086
0.6,-0.000389076636317726,0.00357738424820187,0.00115799898925929
0.7,-0.000276791770149221,0.00294244484881872,0.0011978363371477
0.8,-0.00488162207413001,0.0118335216385231,0.00017345904545584
0.9,0.00422289772639351,0.000773527750854503,0.000409267793160069
1.0,0.00119095253593793,0.000756015650638942,0.000409513667258267
1.1,-0.000190822591719973,0.0047206206122026,0.0012937103762863
1.2,-0.00291563142725689,0.00889843245937044,0.00106333367997211
1.3,-0.000238676152104601,0.0056455106318308,0.000940662914398792
1.4,0.000450782644683664,0.00395861399813958,0.000905411438659756
1.5,-0.000345399192647052,0.00428105194884285,0.000541166499592811
1.6,-0.000420448340739671,0.00293105624975382,0.000533545004397652
1.7,-0.00203264949199357,0.0012544467837217,0.000764320421783169
1.8,-0.00167218578687454,0.0011621832426883,0.00159146638957174
1.9,0.000262806059665032,-0.0047691483495347,0.0018540946821784
2.0,7.05663049761542E-05,-0.0052797254913573,0.00245047630260976
2.1,-0.0030404469332486,-0.00682098692023346,0.00211222791773138
2.2,-0.00579010440146029,-0.00457343113494928,0.00175604119352281
2.3,-0.00988883910367615,0.00293472876578879,0.00133957346596119
2.4,0.000443993318250409,-0.00287313495464343,0.000523321001981694
2.5,-0.00538903759859767,-0.000861960162079991,-0.000731342190641926
2.6,-0.0148575241309699,-0.00643753477229236,-0.000848890667419748
2.7,-0.0140635907072851,-0.00159732110709885,-0.00227925198299782
2.8,-0.0183595695307214,-0.00907423355053897,-0.00406304713613391
2.9,-0.0134191927415216,-0.0112924318193069,-0.00576631737816997
3.0,-0.0135575042655422,-0.021311853923066,-0.0058088375457614
3.1,-0.016257216738355,-0.0223893379783983,-0.00478613717513744
3.2,-0.0203611590104577,-0.0180751848808614,-0.0046899535347223
3.3,-0.0282445011135531,-0.0148200015625185,-0.0045673092541471
3.4,-0.0301677215752775,-0.014143281431268,-0.00612273412503734
3.5,-0.0302350297240296,-0.0115985009143262,-0.00759353175336794
3.6,-0.0237963531275476,-0.015840542533536,-0.0113837943423022
3.7,-0.0236260503398204,-0.0163549367560823,-0.0138969394090293
3.8,-0.0270347961597795,-0.0139011414578311,-0.0171696760177413
3.9,-0.032538904669037,-0.0129352700956292,-0.0192776804965987
4.0,-0.0392833833819331,-0.0147461326582756,-0.0189641987925971
4.1,-0.0424275414267621,-0.0133458991991528,-0.0187184717504348
4.2,-0.0391474512196287,-0.0124540759481894,-0.0196094061800057
4.3,-0.0406546528650441,-0.0125249127117932,-0.020127751696174
4.4,-0.0348040124461215,-0.0157362373736892,-0.0211517929925286
4.5,-0.0353672949822433,-0.0179732448074496,-0.0218612639394181
4.6,-0.0358348639199094,-0.0153724948918112,-0.0230256353259202
4.7,-0.0283186899837727,-0.0160865137372545,-0.0225498579909355
4.8,-0.0301154913161664,-0.0158144071952706,-0.0223732504834368
4.9,-0.0299603779382902,-0.0176421569987159,-0.0234663467029268
5.0,-0.0253634424625852,-0.0170978146339162,-0.0232535862193231
5.1,-0.0262230119208974,-0.0170181111519327,-0.0232265603854107
5.2,-0.0260240111571292,-0.0162634099253702,-0.0235721844955575
5.3,-0.02367996956176,-0.0163534785939094,-0.0234748201374038
5.4,-0.0230499396035607,-0.0182634835983624,-0.0227662811804043
5.5,-0.0248017997961931,-0.0173091018091766,-0.0207662118094208
5.6,-0.0217388342424554,-0.020813304578123,-0.019018646336943

